model,learning_rate,batch_size,seq_len,units_1,units_2,time_sec,accuracy,precision,recall,f1,roc_auc,val_loss,stopped_epoch
lstm,0.001,8,60,256,128,62.5,0.6277173913043478,0.53125,0.18214285714285713,0.2712765957446808,0.5605733082706768,0.8894560822220736,61
lstm,0.001,8,15,256,128,23.1,0.6026666666666667,0.43902439024390244,0.19081272084805653,0.2660098522167488,0.5532343126943652,0.8972822260040747,42
lstm,0.001,8,30,64,32,20.1,0.625503355704698,0.5113636363636364,0.1601423487544484,0.24390243902439024,0.5584274144066756,0.892021530204349,50
lstm,0.0001,32,15,256,128,4.2,0.5826666666666667,0.38095238095238093,0.1696113074204947,0.23471882640586797,0.508735557388337,0.8993495856854399,28
lstm,0.001,16,30,128,64,10.5,0.5986577181208054,0.41509433962264153,0.15658362989323843,0.22739018087855298,0.5588645846116087,0.8932191254535398,46
lstm,0.001,8,30,256,128,28.7,0.6053691275167785,0.43434343434343436,0.15302491103202848,0.22631578947368422,0.5619171063934225,0.8944091851683869,41
lstm,0.0001,16,60,128,64,14.5,0.6086956521739131,0.45652173913043476,0.15,0.22580645161290322,0.5572877506265664,0.8919446939645812,70
lstm,0.0001,16,30,256,128,8.9,0.5946308724832214,0.4036697247706422,0.15658362989323843,0.22564102564102564,0.523760584120751,0.8957870479287773,25
lstm,0.0001,32,15,128,64,4.1,0.6013333333333334,0.4166666666666667,0.1413427561837456,0.21108179419525067,0.5210387330604339,0.8995255521948347,34
lstm,0.001,8,15,64,32,12.7,0.6146666666666667,0.4583333333333333,0.1166077738515901,0.18591549295774648,0.5496553446175498,0.8962141817060261,32
lstm,0.001,32,15,64,32,2.9,0.6066666666666667,0.4166666666666667,0.10600706713780919,0.16901408450704225,0.5325360734255946,0.8976214092947231,28
lstm,0.0001,16,15,64,32,5.8,0.5906666666666667,0.34615384615384615,0.09540636042402827,0.14958448753462603,0.5270465568511133,0.9004142828314023,29
lstm,0.0001,64,60,64,32,2.4,0.6032608695652174,0.4032258064516129,0.08928571428571429,0.14619883040935672,0.542156171679198,0.8957032723020214,36
lstm,0.001,64,60,128,64,2.6,0.6277173913043478,0.5882352941176471,0.07142857142857142,0.12738853503184713,0.5624295112781954,0.8922375412874444,39
lstm,0.001,16,15,128,64,6.9,0.616,0.44680851063829785,0.07420494699646643,0.12727272727272726,0.5511837834156823,0.8953125465505477,34
lstm,0.001,8,15,128,64,16.2,0.6133333333333333,0.425531914893617,0.0706713780918728,0.12121212121212122,0.5608084079266955,0.8956558829024718,41
lstm,0.001,64,15,64,32,4.2,0.624,0.5185185185185185,0.04946996466431095,0.09032258064516129,0.552144732561043,0.8852481384241082,75
lstm,0.0001,8,15,256,128,15.9,0.6133333333333333,0.4,0.04946996466431095,0.0880503144654088,0.5164382836086289,0.8976138268133533,29
lstm,0.0001,16,15,128,64,7.2,0.6226666666666667,0.5,0.04240282685512368,0.0781758957654723,0.5252684226057611,0.8985587086514375,36
lstm,0.001,32,15,256,128,5.0,0.62,0.46153846153846156,0.04240282685512368,0.07766990291262135,0.5490802884360741,0.8959125153465416,34
lstm,0.001,16,15,64,32,6.2,0.612,0.375,0.04240282685512368,0.0761904761904762,0.5405906432306051,0.8937173030222324,30
lstm,0.0001,16,15,256,128,8.3,0.6106666666666667,0.3548387096774194,0.038869257950530034,0.07006369426751592,0.5131468436225514,0.8980654423681049,29
