feature,importance
d-9_DGS2 1 day change,0.0072628214205822635
d-5_VIX,0.007152491557958753
d-8_DGS10,0.007081176784338449
d-1_DGS10 1 day change,0.007049839705336491
d-2_DGS2 1 day change,0.0070337361085558965
d-3_DGS10,0.0066521946722416896
d-3_DGS2 1 day change,0.006587073624060912
d-1_DGS2 1 day change,0.0063287651378672646
d-9_DGS10,0.0063164767447456615
d-4_DGS10 1 day change,0.00627983619937911
d-3_DGS10 1 day change,0.006232372190439499
d-6_DGS2 1 day change,0.006226010684596426
d-4_DGS2 1 day change,0.006221567530601438
d-10_DGS10,0.006176663128506244
d-1_T10Y3M ,0.00616063120796143
d-2_BAMLC0A4CBBB,0.0061157944192001
d-10_T10Y3M ,0.006068110941908791
d-7_T10Y3M ,0.005954607644351061
d-4_DGS10,0.005884648665386728
d-3_SP500,0.0057901133165901685
d-6_T10Y3M ,0.005737633723909626
d-2_DGS10,0.0057356410166755105
d-10_SP500,0.005695936511888206
d-1_SP500,0.005622421173489219
d-5_BAMLC0A4CBBB,0.005619360141840699
d-4_SP500,0.005607757924752812
d-6_BAMLC0A4CBBB,0.005546886804519402
d-2_SP500,0.005486335220115526
d-9_SP500,0.0054648511895584685
d-5_SP500,0.005382456208089422
d-8_T10Y3M ,0.005373732721238058
d-3_T10Y3M ,0.005337886288448506
d-8_BAMLC0A4CBBB,0.005273226970069399
d-7_DGS2,0.005264347195225327
d-8_SP500,0.005200171878963198
d-7_SP500,0.0051837054646961455
d-4_DGS2,0.00517816255844635
d-1_DGS10,0.005147992052197284
d-2_T10Y3M ,0.005145741553979314
d-9_DGS2,0.005094716824012259
d-3_DGS2,0.005075207318299499
d-5_DGS10,0.005073273658188797
d-10_BAMLC0A4CBBB,0.005057704749801441
d-9_T10Y3M ,0.0049744239199568975
d-4_T10Y3M ,0.004915481784442637
d-7_DGS10,0.004904227521140353
d-1_DGS2,0.004866834885781695
d-1_BAMLC0A4CBBB,0.004837138917260115
d-9_BAMLC0A4CBBB,0.004741398199259107
d-4_BAMLC0A4CBBB,0.004713791049581544
d-8_DGS2,0.004662160137663693
d-5_T10Y3M ,0.004600314192571239
d-3_BAMLC0A4CBBB,0.004498983368408149
d-6_DGS10,0.004455544796054824
d-6_SP500,0.004422666096185017
d-7_BAMLC0A4CBBB,0.00436765900052705
d-10_DGS2,0.004255358196783906
d-6_DGS2,0.0042281750473132165
d-2_DGS2,0.004145011955844841
d-5_DGS2,0.0037939819921286684
d-9_CPIAUCSL,0.0028656631805323313
d-1_CPIAUCSL,0.0026938605960636188
d-4_CPIAUCSL,0.002601655282273373
d-8_CPIAUCSL,0.0025785610465362185
d-5_CPIAUCSL,0.0025741067183801198
d-6_CPIAUCSL,0.002397822795304406
d-2_CPIAUCSL,0.0023659167280090394
d-3_CPIAUCSL,0.0022775137235753738
d-10_CPIAUCSL,0.0022491544713088146
d-3_DFF,0.002210733082358036
d-9_DFF,0.002117382212435556
d-7_CPIAUCSL,0.0021167284337747887
d-8_DFF,0.002090926589966395
d-4_Closing Value - CRUDE OIL,0.0019052892123266297
d-6_DFF,0.0019009143315758122
d-5_DFF,0.0018471470024593866
d-2_DFF,0.0018308786208365612
d-10_Closing Value - CRUDE OIL,0.0017908907389737863
d-1_Closing Value - CRUDE OIL,0.0017406934597688898
d-10_DFF,0.0017218978540448722
d-1_DFF,0.0015987558181783435
d-7_Closing Value - CRUDE OIL,0.001594117757741407
d-4_DFF,0.001566297929337868
d-7_DFF,0.001515498280531209
d-9_NLP_encoded,0.0015123701689345541
d-5_Closing Value - CRUDE OIL,0.0014833183379071423
d-3_Closing Value - CRUDE OIL,0.0014478958809608017
d-9_Closing Value - CRUDE OIL,0.001331441146627467
d-2_NLP_encoded,0.0012827337841184192
d-4_NLP_encoded,0.0012582806119684916
d-10_NLP_encoded,0.001175877403309639
d-6_Closing Value - CRUDE OIL,0.0011637065694645801
d-6_NLP_encoded,0.0011396623945503731
d-7_NLP_encoded,0.001105709903023827
d-8_NLP_encoded,0.0010839868496522584
d-8_Closing Value - CRUDE OIL,0.0010497567085398017
d-2_Closing Value - CRUDE OIL,0.001038463642451115
d-1_NLP_encoded,0.0009405900755571217
d-5_NLP_encoded,0.0009265637316631836
d-3_NLP_encoded,0.0006634629602999856
